movie_id,title,year,academy_award,won,run_time,budget,box_office,budget_currency,box_office_currency,starring
marty-1955,Marty,1955,28,yes,NA,NA,NA,USD,USD,
love-is-a-manysplendored-thing-1955,Love Is a Many-Splendored Thing,1955,28,no,102,1.78,3,USD,USD,
mister-roberts-1955,Mister Roberts,1955,28,no,123,NA,21.2,USD,USD,
picnic-1955,Picnic,1955,28,no,115,NA,NA,USD,USD,
the-rose-tattoo-1955,The Rose Tattoo,1955,28,no,117,NA,4.2,USD,USD,"Anna Magnani, Burt Lancaster"
around-the-world-in-80-days-1956,Around the World in 80 Days,1956,29,yes,182,6,42,USD,USD,"Cantinflas, David Niven, Robert Newton, Shirley MacLaine"
friendly-persuasion-1956,Friendly Persuasion,1956,29,no,137,3,8,USD,USD,
giant-1956,Giant,1956,29,no,NA,NA,NA,USD,USD,
the-king-and-i-1956,The King and I,1956,29,no,133,4.55,21.3,USD,USD,"Deborah KerrYul BrynnerRita MorenoMaureen HingertMartin Benson, Rex Thompson"
the-ten-commandments-1956,The Ten Commandments,1956,29,no,220,13,122.7,USD,USD,
the-bridge-on-the-river-kwai-1957,The Bridge on the River Kwai,1957,30,yes,161,2.8,30.6,USD,USD,"William Holden, Jack Hawkins, Alec Guinness"
12-angry-men-1957,12 Angry Men,1957,30,no,NA,0.34,NA,USD,USD,"Henry Fonda, Lee J. Cobb, Ed Begley, E. G. Marshall, Jack Warden"
peyton-place-1957,Peyton Place,1957,30,no,162,2.2,25.6,USD,USD,
sayonara-1957,Sayonara,1957,30,no,147,NA,NA,USD,USD,"Marlon Brando, Patricia Owens, James Garner, Martha Scott, Miiko Taka, Miyoshi Umeki, Red Buttons, Ricardo Montalbán"
witness-for-the-prosecution-1957,Witness for the Prosecution,1957,30,no,116,3,9,USD,USD,
gigi-1958,Gigi,1958,31,yes,115,3.3,13.2,USD,USD,"Leslie Caron, Louis Jourdan, Maurice Chevalier, Hermione Gingold, Eva Gabor, Jacques Bergerac, Isabel Jeans"
auntie-mame-1958,Auntie Mame,1958,31,no,143,NA,9,USD,USD,"Rosalind RussellForrest TuckerCoral BrowneRoger SmithPeggy Cass, Jan HandzlikJoanna BarnesRobin HughesPippa Scott"
cat-on-a-hot-tin-roof-1958,Cat on a Hot Tin Roof,1958,31,no,107,2.345,11.285,USD,USD,
the-defiant-ones-1958,The Defiant Ones,1958,31,no,96,0.778,NA,USD,USD,
separate-tables-1958,Separate Tables,1958,31,no,100,NA,3.1,USD,USD,
benhur-1959,Ben-Hur,1959,32,yes,212,15.2,146.9,USD,USD,"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe"
anatomy-of-a-murder-1959,Anatomy of a Murder,1959,32,no,160,NA,11,USD,USD,
the-diary-of-anne-frank-1959,The Diary of Anne Frank,1959,32,no,170,3.8,2.3,USD,USD,
the-nuns-story-1959,The Nun's Story,1959,32,no,149,3.5,12.8,USD,USD,"Audrey Hepburn, Peter Finch, Edith Evans, Peggy Ashcroft"
room-at-the-top-1959,Room at the Top,1959,32,no,115,0.28,NA,GBP,USD,
the-apartment-1960,The Apartment,1960,33,yes,125,3,24.6,USD,USD,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Jack Kruschen"
the-alamo-1960,The Alamo,1960,33,no,202,12,20,USD,USD,
elmer-gantry-1960,Elmer Gantry,1960,33,no,146,3,5.2,USD,USD,
sons-and-lovers-1960,Sons and Lovers,1960,33,no,103,0.805,NA,USD,USD,
the-sundowners-1960,The Sundowners,1960,33,no,141,NA,0,USD,USD,
west-side-story-1961,West Side Story,1961,34,yes,152,6,43.7,USD,USD,
fanny-1961,Fanny,1961,34,no,134,NA,4.5,USD,USD,
the-guns-of-navarone-1961,The Guns of Navarone,1961,34,no,158,6,28.9,USD,USD,
the-hustler-1961,The Hustler,1961,34,no,134,2.125,7.6,USD,USD,
judgment-at-nuremberg-1961,Judgment at Nuremberg,1961,34,no,179,3,10,USD,USD,
lawrence-of-arabia-1962,Lawrence of Arabia,1962,35,yes,222,15,70,USD,USD,"Alec Guinness, Anthony Quinn, Jack Hawkins, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Omar Sharif, Peter O'Toole"
the-longest-day-1962,The Longest Day,1962,35,no,178,7.75,50.1,USD,USD,"John Wayne, Henry Fonda, Robert Mitchum, Sean Connery, Eddie Albert, Curd Jürgens, Richard Todd, Richard Burton, Peter Lawford, Rod Steiger, Irina Demick, Gert Fröbe, Edmond O'Brien, Kenneth More"
the-music-man-1962,The Music Man,1962,35,no,NA,NA,NA,USD,USD,
mutiny-on-the-bounty-1962,Mutiny on the Bounty,1962,35,no,NA,NA,NA,USD,USD,
to-kill-a-mockingbird-1962,To Kill a Mockingbird,1962,35,no,129,2,13.1,USD,USD,"Gregory Peck, Mary Badham, Phillip Alford, John Megna, Ruth White, Paul Fix, Brock Peters, Frank Overton"
tom-jones-1963,Tom Jones,1963,36,yes,128,1,37.6,GBP,USD,
america-america-1963,America America,1963,36,no,174,NA,NA,USD,USD,
cleopatra-1963,Cleopatra,1963,36,no,NA,NA,NA,USD,USD,
how-the-west-was-won-1963,How the West Was Won,1963,36,no,164,14.483,50,USD,USD,
lilies-of-the-field-1963,Lilies of the Field,1963,36,no,94,0.24,3,USD,USD,
